Timestamp,Object,Confidence
2026-08-13 17:50:05.706799,car,0.67
2026-08-13 17:50:05.706799,car,0.66
2026-08-13 17:50:05.706799,car,0.66
2026-08-13 17:50:05.706799,car,0.64
2026-08-13 17:50:05.706799,car,0.62
2026-08-13 17:50:05.706799,car,0.6
2026-08-13 17:50:05.706799,motorcycle,0.6
2026-08-13 17:50:05.706799,car,0.58
2026-08-13 17:50:05.706799,car,0.51
2026-08-13 17:50:05.708915,bus,0.48
2026-08-13 17:50:05.708915,car,0.44
2026-08-13 17:50:05.708915,car,0.44
2026-08-13 17:50:05.708915,car,0.38
2026-08-13 17:50:05.708915,car,0.36
2026-08-13 17:50:05.708915,bus,0.35
2026-08-13 17:50:05.708915,person,0.34
2026-08-13 17:50:05.708915,person,0.34
2026-08-13 17:50:05.708915,car,0.31
2026-08-13 17:50:05.708915,bus,0.3
2026-08-13 17:50:05.708915,person,0.26
2026-08-13 17:50:05.708915,car,0.25
2026-08-13 17:50:05.823769,car,0.74
2026-08-13 17:50:05.823769,car,0.68
2026-08-13 17:50:05.823769,car,0.66
2026-08-13 17:50:05.823769,car,0.64
2026-08-13 17:50:05.823769,car,0.64
2026-08-13 17:50:05.823769,car,0.63
2026-08-13 17:50:05.823769,motorcycle,0.63
2026-08-13 17:50:05.823769,bus,0.61
2026-08-13 17:50:05.823769,car,0.54
2026-08-13 17:50:05.823769,car,0.54
2026-08-13 17:50:05.823769,car,0.52
2026-08-13 17:50:05.823769,car,0.46
2026-08-13 17:50:05.823769,bus,0.43
2026-08-13 17:50:05.823769,car,0.41
2026-08-13 17:50:05.823769,truck,0.41
2026-08-13 17:50:05.823769,car,0.4
2026-08-13 17:50:05.823769,bus,0.4
2026-08-13 17:50:05.823769,car,0.34
2026-08-13 17:50:05.823769,person,0.32
2026-08-13 17:50:05.823769,car,0.28
2026-08-13 17:50:05.823769,person,0.27
2026-08-13 17:50:05.823769,person,0.26
2026-08-13 17:50:05.939980,car,0.74
2026-08-13 17:50:05.939980,bus,0.7
2026-08-13 17:50:05.939980,car,0.69
2026-08-13 17:50:05.939980,car,0.68
2026-08-13 17:50:05.942012,car,0.67
2026-08-13 17:50:05.942012,motorcycle,0.66
2026-08-13 17:50:05.942012,car,0.62
2026-08-13 17:50:05.942012,car,0.61
2026-08-13 17:50:05.942518,car,0.58
2026-08-13 17:50:05.942518,car,0.57
2026-08-13 17:50:05.942518,car,0.53
2026-08-13 17:50:05.942518,bus,0.43
2026-08-13 17:50:05.942518,bus,0.42
2026-08-13 17:50:05.942518,car,0.42
2026-08-13 17:50:05.942518,car,0.4
2026-08-13 17:50:05.943528,car,0.39
2026-08-13 17:50:05.943528,car,0.38
2026-08-13 17:50:05.943528,person,0.29
